PersonID,FinancialID,Income,Credit_Score,Loan_Amount,Loan_Purpose,Employment_Status,Years_at_Current_Job,Payment_History,Debt-to-Income_Ratio_(%),Assets_Value,Previous_Defaults,Risk_Rating,,,,
2457,2457,50011,685,42261,Personal,Employed,18,Fair,13,143489,0,Low,,,,
2458,2458,112782,728,12565,Home,Self-employed,18,Excellent,24,221694,2,Medium,,,,
2459,2459,95276,699,27137,Personal,Self-employed,11,Poor,18,159741,4,Medium,,,,
2460,2460,46245,658,29117,Business,Unemployed,4,Poor,50,198807,0,Low,,,,
2461,2461,69933,675,45004,Personal,Unemployed,8,Good,48,94670,1,Low,,,,
2462,2462,116576,661,31838,Personal,Self-employed,14,Poor,20,286754,1,Low,,,,
2463,2463,24554,737,18107,Business,Employed,6,Fair,13,43603,0,High,,,,
2464,2464,99056,623,25500,Business,Unemployed,10,Good,16,143112,2,Low,,,,
2465,2465,58397,699,27450,Personal,Self-employed,1,Poor,24,36872,4,Low,,,,
2466,2466,69933,699,49328,Auto,Unemployed,4,Fair,39,262337,0,Low,,,,
2467,2467,69933,699,12190,Business,Employed,15,Fair,13,281561,3,Low,,,,
2468,2468,96309,656,35530,Home,Employed,17,Poor,34,159741,0,Medium,,,,
2469,2469,35154,613,9824,Home,Self-employed,14,Poor,55,284754,1,Low,,,,
2470,2470,49677,767,40692,Personal,Self-employed,9,Fair,57,128373,1,Medium,,,,
2471,2471,40910,699,23169,Auto,Self-employed,0,Excellent,47,285387,0,Low,,,,
2472,2472,56719,699,14322,Home,Self-employed,19,Poor,19,26978,0,Low,,,,
2473,2473,60584,792,37736,Business,Employed,9,Poor,32,111544,0,Medium,,,,
2474,2474,70044,699,18874,Business,Unemployed,10,Poor,56,276582,1,Medium,,,,
2475,2475,42875,619,27450,Home,Employed,3,Good,58,86087,1,Low,,,,
2476,2476,37422,788,27450,Home,Unemployed,0,Excellent,12,75878,0,Low,,,,
2477,2477,34962,644,34884,Auto,Unemployed,1,Fair,27,145700,4,Low,,,,
2478,2478,25293,699,10729,Auto,Self-employed,9,Poor,29,77231,0,Medium,,,,
2479,2479,97125,791,41214,Auto,Employed,5,Good,24,233060,1,Medium,,,,
2480,2480,61941,657,13992,Business,Employed,0,Fair,41,206751,2,High,,,,
2481,2481,69933,743,36745,Personal,Self-employed,18,Excellent,18,65868,0,Low,,,,
2482,2482,69933,695,27450,Auto,Unemployed,0,Poor,45,171608,4,Low,,,,
2483,2483,79683,605,29300,Auto,Self-employed,14,Good,20,141977,2,Low,,,,
2484,2484,69933,724,47235,Business,Unemployed,5,Poor,49,121398,4,Low,,,,
2485,2485,70756,663,13499,Home,Self-employed,18,Poor,38,135194,2,Medium,,,,
2486,2486,107486,744,15497,Business,Self-employed,16,Poor,35,294396,4,Low,,,,
2487,2487,69933,681,44735,Business,Self-employed,17,Fair,54,29087,3,Medium,,,,
2488,2488,89445,699,27450,Auto,Employed,14,Good,49,158059,3,High,,,,
2489,2489,44647,735,27632,Personal,Self-employed,17,Poor,13,288958,0,Low,,,,
2490,2490,28250,642,34336,Personal,Unemployed,0,Excellent,56,159741,2,Low,,,,
2491,2491,28933,699,28397,Business,Employed,2,Fair,20,298625,4,High,,,,
2492,2492,83089,744,48868,Business,Unemployed,17,Poor,41,270483,4,Medium,,,,
2493,2493,69933,796,30081,Home,Unemployed,1,Excellent,27,153155,2,Medium,,,,
2494,2494,90487,623,48478,Auto,Self-employed,13,Poor,38,212532,0,Medium,,,,
2495,2495,36167,622,25790,Home,Unemployed,1,Excellent,43,43847,4,Low,,,,
2496,2496,29179,651,5606,Business,Self-employed,14,Excellent,43,246520,1,Low,,,,
2497,2497,69933,693,27450,Home,Employed,5,Good,46,87711,3,High,,,,
2498,2498,97090,631,42140,Home,Employed,17,Good,13,180149,3,Medium,,,,
2499,2499,47313,755,18830,Personal,Unemployed,0,Good,40,32946,2,Low,,,,
2500,2500,57282,699,27466,Home,Unemployed,9,Fair,30,121164,2,Low,,,,
2501,2501,92561,760,5171,Home,Unemployed,16,Good,42,60697,3,Low,,,,
2502,2502,76884,609,27717,Auto,Unemployed,10,Good,18,140482,4,Medium,,,,
2503,2503,69933,623,27450,Personal,Self-employed,16,Poor,39,293185,1,Medium,,,,
2504,2504,104271,629,33026,Home,Employed,9,Fair,15,25755,2,Medium,,,,
2505,2505,69094,651,19062,Business,Employed,5,Poor,20,91058,4,High,,,,
2506,2506,95017,665,22057,Personal,Self-employed,9,Good,60,85121,4,Medium,,,,
2507,2507,56479,764,20437,Personal,Unemployed,14,Excellent,24,44343,1,High,,,,
2508,2508,95419,788,11524,Home,Employed,9,Excellent,28,174947,4,Low,,,,
2509,2509,99214,621,12489,Personal,Employed,12,Excellent,22,33288,1,Low,,,,
2510,2510,69933,692,34510,Personal,Unemployed,11,Good,55,38642,0,Medium,,,,
2511,2511,86313,699,8739,Personal,Unemployed,15,Poor,24,54658,2,Low,,,,
2512,2512,69933,641,27167,Auto,Self-employed,19,Poor,50,163637,1,Low,,,,
2513,2513,39465,779,37795,Home,Self-employed,13,Fair,53,284391,3,High,,,,
2514,2514,94855,649,20459,Home,Self-employed,17,Excellent,39,130816,3,Low,,,,
2515,2515,69933,711,29234,Personal,Employed,4,Excellent,51,262287,2,High,,,,
2516,2516,66716,758,36656,Home,Unemployed,12,Good,30,48152,3,Medium,,,,
2517,2517,119233,772,37983,Auto,Self-employed,8,Excellent,28,54509,2,Medium,,,,
2518,2518,100383,766,33274,Auto,Employed,18,Excellent,39,235047,0,Low,,,,
2519,2519,78194,668,46144,Auto,Self-employed,4,Fair,54,226741,2,Low,,,,
2520,2520,61705,699,30120,Home,Employed,7,Fair,15,127343,0,Medium,,,,
2521,2521,70877,611,27963,Home,Employed,9,Fair,20,270060,2,Low,,,,
2522,2522,86760,658,34922,Business,Employed,11,Good,21,289349,2,Medium,,,,
2523,2523,79886,674,33651,Business,Unemployed,4,Excellent,12,61958,1,Low,,,,
2524,2524,102673,753,23719,Business,Self-employed,17,Fair,53,159741,2,Low,,,,
2525,2525,69933,699,12122,Home,Self-employed,19,Poor,30,59317,4,Low,,,,
2526,2526,102297,773,39139,Home,Self-employed,15,Fair,34,246920,4,Low,,,,
2527,2527,49552,727,8067,Home,Employed,17,Poor,36,159741,2,Medium,,,,
2528,2528,28108,730,9566,Business,Employed,19,Excellent,43,267871,3,Low,,,,
2529,2529,69933,718,24229,Home,Unemployed,19,Good,56,269495,3,Low,,,,
2530,2530,86003,699,27450,Auto,Self-employed,4,Poor,57,246494,2,Low,,,,
2531,2531,23549,605,12676,Home,Unemployed,17,Good,18,159741,3,Low,,,,
2532,2532,107089,608,46104,Auto,Self-employed,3,Fair,58,24466,2,Medium,,,,
2533,2533,86714,712,40229,Personal,Unemployed,7,Fair,57,66960,0,Low,,,,
2534,2534,51419,727,24432,Home,Self-employed,16,Excellent,33,103284,3,Medium,,,,
2535,2535,86046,766,49003,Home,Unemployed,10,Fair,31,196150,4,Low,,,,
2536,2536,108052,708,18521,Auto,Employed,5,Good,44,56951,3,Medium,,,,
2537,2537,49039,772,9227,Home,Self-employed,3,Excellent,48,95660,3,Medium,,,,
2538,2538,59159,682,22072,Personal,Employed,14,Excellent,45,132331,3,Low,,,,
2539,2539,53799,723,5547,Home,Self-employed,11,Excellent,19,57006,2,Low,,,,
2540,2540,106778,769,20581,Business,Unemployed,15,Fair,48,159741,0,Low,,,,
2541,2541,69933,644,46845,Business,Employed,11,Fair,53,102612,4,High,,,,
2542,2542,108771,730,27450,Auto,Self-employed,18,Excellent,11,159741,1,Low,,,,
2543,2543,32644,795,18365,Personal,Self-employed,13,Poor,12,142145,2,Low,,,,
2544,2544,95205,706,32168,Personal,Employed,4,Poor,14,161221,1,Low,,,,
2545,2545,26331,699,18747,Business,Self-employed,7,Excellent,31,287591,0,Low,,,,
2546,2546,94732,617,20999,Personal,Employed,17,Fair,49,52663,0,Medium,,,,
2547,2547,80663,692,27106,Business,Self-employed,6,Fair,18,132634,1,Medium,,,,
2548,2548,53149,731,27450,Business,Employed,16,Fair,36,74279,4,Low,,,,
2549,2549,107385,725,41751,Auto,Unemployed,7,Fair,43,143236,0,Low,,,,
2550,2550,64397,745,17138,Home,Self-employed,13,Fair,29,186922,2,Low,,,,
2551,2551,110510,642,27450,Auto,Unemployed,6,Poor,12,99489,1,Low,,,,
2552,2552,110666,764,31162,Business,Employed,4,Excellent,49,270493,4,Low,,,,
2553,2553,97000,735,8062,Personal,Unemployed,9,Excellent,11,72202,3,Low,,,,
2554,2554,79395,724,17699,Personal,Self-employed,17,Poor,37,25039,2,Low,,,,
2555,2555,102799,686,5977,Home,Self-employed,16,Excellent,43,87738,0,Low,,,,
2556,2556,69933,679,29686,Personal,Self-employed,15,Excellent,33,277601,3,Low,,,,
2557,2557,109509,792,27450,Personal,Self-employed,13,Good,18,231025,1,Low,,,,
2558,2558,87982,643,30416,Auto,Unemployed,17,Fair,50,149176,4,Low,,,,
2559,2559,31218,653,27450,Auto,Employed,7,Poor,52,190212,0,Low,,,,
2560,2560,20146,652,27450,Home,Self-employed,0,Poor,22,93072,3,Medium,,,,
2561,2561,70606,612,33264,Home,Self-employed,6,Poor,58,67897,4,Low,,,,
2562,2562,101981,715,44642,Business,Self-employed,1,Excellent,31,111455,0,Low,,,,
2563,2563,117383,749,8501,Business,Unemployed,13,Poor,11,248336,2,Medium,,,,
2564,2564,69933,613,27874,Business,Self-employed,0,Poor,25,128572,2,Low,,,,
2565,2565,118993,709,40512,Home,Unemployed,18,Excellent,37,193007,4,Low,,,,
2566,2566,109294,628,31524,Auto,Self-employed,17,Excellent,58,128173,1,Medium,,,,
2567,2567,45412,681,25287,Personal,Self-employed,4,Poor,13,132590,4,Low,,,,
2568,2568,92024,780,13451,Home,Unemployed,17,Fair,54,70816,0,High,,,,
2569,2569,86741,794,23154,Auto,Employed,19,Poor,33,159741,0,Medium,,,,
2570,2570,83226,626,7938,Home,Unemployed,3,Excellent,51,151383,3,Low,,,,
2571,2571,109125,794,27698,Business,Employed,3,Fair,16,90156,4,Medium,,,,
2572,2572,57249,699,19812,Auto,Unemployed,0,Excellent,59,288829,2,Medium,,,,
2573,2573,40765,747,5159,Business,Self-employed,14,Fair,15,168951,2,Low,,,,
2574,2574,65752,738,22517,Auto,Employed,6,Good,58,44981,1,Low,,,,
2575,2575,87224,767,13787,Personal,Employed,8,Poor,57,196178,2,Medium,,,,
2576,2576,63969,653,19033,Business,Unemployed,16,Good,58,196850,2,Medium,,,,
2577,2577,68745,699,17871,Auto,Employed,16,Good,56,201674,0,High,,,,
2578,2578,103910,699,27450,Personal,Employed,16,Fair,36,281685,0,Low,,,,
2579,2579,70293,716,27450,Auto,Unemployed,9,Fair,39,32199,4,Medium,,,,
2580,2580,114036,796,39421,Business,Self-employed,17,Fair,32,159741,2,Low,,,,
2581,2581,69933,603,11646,Auto,Employed,10,Poor,25,282901,3,Medium,,,,
2582,2582,82740,710,32004,Auto,Self-employed,16,Excellent,43,236134,3,High,,,,
2583,2583,30605,739,17180,Personal,Employed,0,Poor,28,225526,2,High,,,,
2584,2584,62801,681,19517,Personal,Unemployed,6,Good,55,143368,2,Low,,,,
2585,2585,74913,719,16568,Auto,Self-employed,3,Good,38,285428,3,Low,,,,
2586,2586,102938,674,13545,Home,Employed,1,Poor,21,147545,2,Low,,,,
2587,2587,51949,633,24232,Home,Unemployed,15,Fair,21,159741,3,Low,,,,
2588,2588,69933,699,27450,Personal,Self-employed,7,Poor,14,287786,0,Medium,,,,
2589,2589,98270,699,37602,Home,Self-employed,5,Poor,49,219569,1,Medium,,,,
2590,2590,69933,620,10318,Business,Employed,11,Good,23,53782,1,Low,,,,
2591,2591,69933,781,48879,Business,Employed,0,Poor,50,205357,3,Low,,,,
2592,2592,69933,705,48867,Auto,Unemployed,10,Fair,54,159741,3,Low,,,,
2593,2593,22413,710,27615,Auto,Employed,14,Excellent,36,159741,1,Low,,,,
2594,2594,69933,786,36683,Home,Unemployed,16,Poor,38,187459,3,Medium,,,,
2595,2595,39163,699,16561,Auto,Employed,11,Poor,53,159741,0,Low,,,,
2596,2596,70701,740,5500,Personal,Unemployed,1,Good,45,152355,2,Low,,,,
2597,2597,74289,666,37775,Auto,Employed,17,Excellent,51,135667,0,Medium,,,,
2598,2598,54723,685,21004,Auto,Self-employed,15,Fair,43,228303,1,Low,,,,
2599,2599,30247,631,13190,Business,Self-employed,4,Good,31,58272,0,Low,,,,
2600,2600,85563,649,12811,Business,Self-employed,1,Poor,54,124873,2,Low,,,,
2601,2601,51419,717,35612,Auto,Unemployed,19,Excellent,30,39433,3,Low,,,,
2602,2602,69933,743,16620,Home,Unemployed,7,Good,51,245778,2,Low,,,,
2603,2603,70526,771,26988,Auto,Employed,14,Fair,51,159741,0,Low,,,,
2604,2604,69933,796,27450,Home,Unemployed,4,Poor,48,117320,3,Low,,,,
2605,2605,53864,699,49089,Business,Unemployed,10,Excellent,19,149396,0,Low,,,,
2606,2606,38996,656,38243,Home,Unemployed,11,Good,13,49802,2,Low,,,,
2607,2607,69933,671,30672,Auto,Unemployed,0,Fair,30,159741,4,Low,,,,
2608,2608,69933,669,41002,Business,Employed,16,Excellent,33,232748,1,Low,,,,
2609,2609,57321,750,41540,Business,Self-employed,7,Good,33,157508,2,Low,,,,
2610,2610,69933,704,18877,Personal,Employed,12,Excellent,56,291176,3,Low,,,,
2611,2611,106805,782,11115,Business,Unemployed,10,Poor,15,245546,1,Low,,,,
2612,2612,69933,664,27993,Business,Unemployed,18,Poor,21,52732,2,Medium,,,,
2613,2613,104326,609,41215,Business,Self-employed,14,Fair,49,27903,3,Low,,,,
2614,2614,49696,769,18990,Auto,Employed,19,Good,38,69191,4,Low,,,,
2615,2615,72443,638,49412,Personal,Unemployed,4,Fair,54,107685,2,Medium,,,,
2616,2616,115585,682,41994,Business,Employed,14,Poor,41,71128,1,Medium,,,,
2617,2617,56230,627,22597,Personal,Unemployed,5,Good,47,171542,0,Low,,,,
2618,2618,78204,633,11901,Personal,Employed,4,Excellent,45,148810,3,Low,,,,
2619,2619,69933,699,48445,Auto,Unemployed,14,Poor,41,232359,2,Low,,,,
2620,2620,67731,721,32073,Personal,Unemployed,16,Good,21,177476,0,Medium,,,,
2621,2621,69933,611,6455,Home,Unemployed,14,Excellent,38,187570,2,Low,,,,
2622,2622,87667,779,21989,Personal,Employed,11,Poor,49,71230,2,High,,,,
2623,2623,81797,792,35312,Business,Employed,5,Excellent,29,127883,4,Medium,,,,
2624,2624,75020,699,33448,Home,Employed,0,Fair,30,159741,2,Medium,,,,
2625,2625,69933,605,26009,Auto,Self-employed,9,Poor,32,163574,4,Low,,,,
2626,2626,69933,602,17817,Home,Employed,7,Poor,24,185682,4,Low,,,,
2627,2627,69933,605,23458,Business,Employed,17,Poor,22,109402,3,Medium,,,,
2628,2628,103533,668,31011,Personal,Unemployed,3,Excellent,38,265493,1,Low,,,,
2629,2629,70782,699,7906,Business,Employed,14,Fair,15,151057,2,Low,,,,
2630,2630,114542,796,20094,Home,Employed,3,Fair,56,129210,1,Low,,,,
2631,2631,33785,611,46042,Auto,Employed,2,Excellent,40,122524,0,Low,,,,
2632,2632,21094,699,20950,Home,Unemployed,18,Excellent,12,297358,3,Low,,,,
2633,2633,29669,714,8527,Auto,Self-employed,0,Good,53,255757,3,Medium,,,,
2634,2634,82969,754,34094,Auto,Self-employed,8,Good,19,187271,1,Low,,,,
2635,2635,23497,773,30838,Business,Employed,19,Good,59,215305,3,Low,,,,
2636,2636,29096,636,27450,Home,Unemployed,6,Poor,16,285223,1,Medium,,,,
2637,2637,78070,714,26773,Auto,Unemployed,13,Poor,27,240149,0,Low,,,,
2638,2638,106849,764,27450,Business,Employed,4,Excellent,39,218073,4,Medium,,,,
2639,2639,62690,664,46593,Business,Unemployed,19,Excellent,36,112184,4,Low,,,,
2640,2640,69933,699,27450,Home,Unemployed,8,Excellent,41,206894,2,Medium,,,,
2641,2641,69933,680,12003,Auto,Employed,10,Excellent,13,184250,3,Low,,,,
2642,2642,69933,693,26106,Personal,Self-employed,15,Excellent,19,128416,1,Medium,,,,
2643,2643,118447,617,27450,Auto,Employed,11,Good,32,159741,2,Low,,,,
2644,2644,91060,681,5710,Home,Employed,1,Good,35,242415,3,Medium,,,,
2645,2645,69933,699,29347,Home,Unemployed,8,Good,42,245793,0,Low,,,,
2646,2646,62460,702,27450,Auto,Employed,17,Excellent,45,40287,2,Low,,,,
2647,2647,93062,734,27450,Personal,Employed,19,Excellent,43,255310,1,Low,,,,
2648,2648,88843,603,13549,Business,Employed,11,Poor,21,21568,2,Low,,,,
2649,2649,106991,613,6023,Auto,Employed,7,Poor,47,85077,2,Medium,,,,
2650,2650,69933,726,32007,Business,Unemployed,4,Fair,30,267854,2,Medium,,,,
2651,2651,69933,684,48527,Auto,Self-employed,9,Excellent,35,223222,2,Low,,,,
2652,2652,69933,705,46631,Business,Self-employed,9,Excellent,42,82688,4,Low,,,,
2653,2653,101440,699,16814,Business,Unemployed,15,Poor,43,95026,1,High,,,,
2654,2654,23134,709,31278,Personal,Unemployed,19,Excellent,36,151521,2,Low,,,,
2655,2655,112449,782,5126,Auto,Employed,14,Good,54,267109,1,Low,,,,
2656,2656,23878,723,26430,Personal,Employed,14,Poor,14,277799,4,Low,,,,
2657,2657,44336,699,48518,Auto,Unemployed,16,Poor,35,219603,3,Medium,,,,
2658,2658,62967,659,5078,Home,Self-employed,0,Fair,35,213905,1,Medium,,,,
2659,2659,53050,754,43270,Home,Employed,13,Fair,22,296770,3,Low,,,,
2660,2660,69933,699,45718,Auto,Employed,2,Excellent,57,52511,2,Medium,,,,
2661,2661,90390,639,35894,Business,Self-employed,8,Excellent,37,20383,2,Medium,,,,
2662,2662,76006,778,27450,Auto,Unemployed,6,Excellent,20,134795,1,Low,,,,
2663,2663,61477,680,32472,Auto,Unemployed,9,Fair,25,269984,1,Low,,,,
2664,2664,102071,676,20558,Personal,Employed,7,Poor,33,206293,0,Medium,,,,
2665,2665,63388,769,16218,Auto,Employed,10,Excellent,14,23236,2,Medium,,,,
2666,2666,29825,736,27450,Auto,Employed,15,Excellent,13,206497,3,Medium,,,,
2667,2667,33919,709,45702,Personal,Unemployed,8,Good,41,156758,2,Low,,,,
2668,2668,69933,657,17175,Auto,Employed,13,Excellent,59,143614,4,Low,,,,
2669,2669,30133,779,47360,Personal,Employed,2,Excellent,28,162588,3,Medium,,,,
2670,2670,71586,633,43856,Home,Self-employed,4,Excellent,45,208959,3,Medium,,,,
2671,2671,83332,702,25333,Personal,Unemployed,5,Good,28,130628,1,Low,,,,
2672,2672,52682,778,18971,Business,Employed,0,Poor,14,205687,2,Medium,,,,
2673,2673,70998,672,22871,Personal,Self-employed,1,Excellent,24,195231,2,Low,,,,
2674,2674,75305,699,27450,Home,Employed,0,Fair,23,222261,0,Medium,,,,
2675,2675,42505,742,41678,Auto,Employed,3,Fair,44,130007,0,Low,,,,
2676,2676,69933,731,13379,Business,Employed,5,Poor,60,183376,3,Medium,,,,
2677,2677,118636,793,27450,Auto,Unemployed,11,Good,51,24886,2,Low,,,,
2678,2678,104218,669,43548,Personal,Self-employed,9,Fair,59,281773,0,Low,,,,
2679,2679,48820,729,24165,Personal,Unemployed,14,Fair,24,159741,1,Low,,,,
2680,2680,69933,751,12080,Personal,Employed,6,Good,37,264674,4,Medium,,,,
2681,2681,108061,725,41202,Personal,Self-employed,8,Good,49,250497,3,Medium,,,,
2682,2682,72142,699,40901,Business,Self-employed,18,Fair,44,159741,2,Low,,,,
2683,2683,35701,741,24596,Business,Employed,9,Poor,17,93732,4,Low,,,,
2684,2684,75361,712,38289,Home,Self-employed,16,Good,45,113444,1,Low,,,,
2685,2685,105293,699,16344,Personal,Employed,19,Excellent,44,263634,2,Medium,,,,
2686,2686,54555,663,28927,Home,Self-employed,4,Fair,33,76882,4,Low,,,,
2687,2687,116346,767,24934,Personal,Unemployed,8,Excellent,14,159741,1,Low,,,,
2688,2688,69933,671,13389,Personal,Self-employed,9,Fair,15,298860,1,Low,,,,
2689,2689,69933,798,22031,Personal,Employed,8,Poor,15,111574,2,Low,,,,
2690,2690,70998,784,40894,Personal,Self-employed,5,Poor,23,108836,1,Low,,,,
2691,2691,63007,672,30973,Business,Employed,5,Excellent,37,159741,3,Low,,,,
2692,2692,48247,745,32341,Auto,Unemployed,9,Poor,60,154402,1,Medium,,,,
2693,2693,77940,770,29333,Home,Self-employed,13,Good,30,125554,0,Medium,,,,
2694,2694,43135,775,27450,Business,Employed,13,Excellent,59,241936,2,Medium,,,,
2695,2695,63095,675,27450,Business,Unemployed,16,Fair,58,207228,2,Low,,,,
2696,2696,99606,699,27450,Personal,Unemployed,5,Poor,25,135033,4,Medium,,,,
2697,2697,39504,689,10062,Home,Employed,13,Good,57,37110,4,Low,,,,
2698,2698,69933,699,27450,Personal,Self-employed,18,Good,32,159741,3,High,,,,
2699,2699,40439,636,27450,Business,Employed,16,Poor,49,196625,3,Medium,,,,
2700,2700,56656,660,39226,Personal,Employed,10,Excellent,53,76762,2,High,,,,
2701,2701,96190,755,32809,Home,Employed,11,Good,17,89583,4,Low,,,,
2702,2702,106479,738,33055,Business,Self-employed,4,Poor,17,204299,2,Low,,,,
2703,2703,65797,735,16545,Personal,Employed,14,Poor,27,159741,3,Medium,,,,
2704,2704,108713,702,32577,Home,Self-employed,7,Good,53,60231,4,Medium,,,,
2705,2705,60426,720,40340,Business,Employed,9,Excellent,20,145774,3,Low,,,,
2706,2706,119027,715,26402,Auto,Unemployed,11,Excellent,55,68789,0,Low,,,,
2707,2707,77784,632,49247,Business,Self-employed,6,Fair,17,38304,0,Low,,,,
2708,2708,44067,666,48945,Home,Unemployed,7,Excellent,31,97306,3,Low,,,,
2709,2709,75103,699,20350,Home,Employed,13,Excellent,11,257178,3,Low,,,,
2710,2710,91613,712,13899,Personal,Employed,14,Excellent,15,159741,2,Medium,,,,
2711,2711,69933,726,42494,Business,Employed,8,Excellent,33,159741,2,Low,,,,
2712,2712,73266,699,27450,Business,Unemployed,10,Poor,30,44455,0,Low,,,,
2713,2713,59909,764,8497,Home,Self-employed,11,Excellent,15,242875,2,Low,,,,
2714,2714,82661,773,28057,Business,Unemployed,1,Good,41,211913,4,Medium,,,,
2715,2715,54626,784,11867,Business,Unemployed,16,Good,54,99497,0,Low,,,,
2716,2716,73426,684,48547,Business,Self-employed,17,Fair,37,159741,2,Medium,,,,
2717,2717,106541,699,47160,Business,Employed,13,Good,36,144716,4,Medium,,,,
2718,2718,63826,703,8679,Business,Unemployed,8,Good,26,298601,2,Low,,,,
2719,2719,107812,683,36171,Business,Unemployed,6,Excellent,44,259520,2,Low,,,,
2720,2720,69933,737,49604,Auto,Unemployed,6,Fair,56,221120,3,Medium,,,,
2721,2721,112905,699,35368,Home,Unemployed,18,Poor,30,159741,4,Low,,,,
2722,2722,22736,714,36004,Personal,Self-employed,5,Poor,25,142545,2,Medium,,,,
2723,2723,76473,684,16184,Personal,Employed,8,Excellent,28,75261,2,Medium,,,,
2724,2724,88019,613,29153,Auto,Unemployed,3,Good,11,232055,4,Low,,,,
2725,2725,36217,755,6758,Business,Employed,6,Good,48,206294,1,Medium,,,,
2726,2726,89817,695,27450,Home,Unemployed,2,Excellent,50,132394,1,Medium,,,,
2727,2727,63199,666,15827,Auto,Employed,2,Good,38,176311,1,Low,,,,
2728,2728,102189,765,38418,Auto,Unemployed,17,Good,47,183846,1,Medium,,,,
2729,2729,39727,710,29757,Personal,Employed,16,Good,57,63439,4,Low,,,,
2730,2730,71457,753,30657,Auto,Unemployed,1,Poor,51,68412,4,Medium,,,,
2731,2731,72508,705,27450,Business,Employed,15,Fair,15,62718,1,Low,,,,
2732,2732,102684,634,19182,Business,Employed,10,Excellent,44,72540,2,Medium,,,,
2733,2733,46170,635,34394,Personal,Employed,11,Excellent,54,110425,0,Low,,,,
2734,2734,50183,736,8893,Personal,Unemployed,1,Good,49,59087,0,Low,,,,
2735,2735,21135,732,49014,Business,Employed,19,Good,50,177327,1,Low,,,,
2736,2736,106378,613,12229,Home,Employed,1,Good,12,260176,3,Medium,,,,
2737,2737,102990,771,27450,Business,Unemployed,19,Fair,29,186969,2,Low,,,,
2738,2738,61057,775,36454,Personal,Unemployed,10,Excellent,31,58628,4,Low,,,,
2739,2739,71986,670,36843,Personal,Self-employed,9,Good,45,211943,0,Low,,,,
2740,2740,48082,639,9937,Home,Unemployed,18,Excellent,34,297632,3,Medium,,,,
2741,2741,117898,733,27737,Home,Self-employed,11,Excellent,34,271268,1,Low,,,,
2742,2742,28083,638,31626,Personal,Unemployed,12,Poor,26,240980,4,Low,,,,
2743,2743,54592,776,22994,Home,Self-employed,12,Fair,54,152199,4,Low,,,,
2744,2744,48281,755,9518,Auto,Employed,10,Fair,16,59184,0,Medium,,,,
2745,2745,68838,660,26275,Personal,Employed,6,Fair,34,269138,0,Low,,,,
2746,2746,31251,625,19833,Business,Unemployed,19,Fair,50,169675,2,Low,,,,
2747,2747,61201,620,33652,Business,Employed,6,Poor,52,244228,0,Low,,,,
2748,2748,71899,655,27450,Auto,Self-employed,15,Poor,16,192098,0,Medium,,,,
2749,2749,62631,610,15738,Business,Unemployed,0,Excellent,17,240332,4,Medium,,,,
2750,2750,69933,699,30823,Home,Unemployed,2,Poor,20,250408,1,Low,,,,
2751,2751,71658,707,7839,Auto,Self-employed,9,Poor,23,181511,2,Medium,,,,
2752,2752,72357,705,7128,Home,Unemployed,9,Poor,46,159741,2,Low,,,,
2753,2753,24153,769,44606,Business,Unemployed,17,Fair,36,271066,3,Medium,,,,
2754,2754,69933,763,35517,Home,Self-employed,16,Fair,16,169657,0,Medium,,,,
2755,2755,112345,765,5715,Business,Employed,15,Poor,58,291385,1,Low,,,,
2756,2756,78169,699,37910,Personal,Self-employed,12,Poor,37,57975,2,Medium,,,,
2757,2757,111903,632,23691,Auto,Employed,2,Good,47,188922,0,Low,,,,
2758,2758,98027,779,11580,Home,Self-employed,4,Good,36,113784,1,Medium,,,,
2759,2759,23657,699,8945,Auto,Unemployed,3,Good,57,177916,2,Low,,,,
2760,2760,81455,699,32623,Personal,Employed,15,Fair,24,37783,3,Low,,,,
2761,2761,33292,699,39561,Home,Employed,19,Excellent,33,159741,1,High,,,,
2762,2762,108890,699,17915,Home,Self-employed,7,Good,20,219289,4,Low,,,,
2763,2763,106840,699,37522,Home,Self-employed,12,Fair,43,59811,4,Medium,,,,
2764,2764,119655,772,20173,Auto,Self-employed,12,Excellent,20,195572,0,Low,,,,
2765,2765,69933,773,27450,Auto,Self-employed,1,Fair,13,289696,3,Medium,,,,
2766,2766,69933,668,38923,Auto,Employed,5,Poor,46,128178,4,Low,,,,
2767,2767,69933,699,16408,Home,Unemployed,17,Excellent,12,135677,0,Low,,,,
2768,2768,69862,793,46612,Auto,Employed,1,Poor,57,284107,0,Low,,,,
2769,2769,29136,641,27450,Home,Self-employed,17,Fair,51,74438,3,Low,,,,
2770,2770,98066,723,34120,Personal,Self-employed,18,Poor,53,120055,2,High,,,,
2771,2771,69282,733,27450,Auto,Unemployed,1,Good,36,211084,0,Low,,,,
2772,2772,69933,710,38845,Auto,Employed,14,Excellent,13,232815,3,Low,,,,
2773,2773,68707,643,15951,Auto,Self-employed,12,Poor,31,144979,3,Low,,,,
2774,2774,83308,613,48426,Personal,Self-employed,12,Fair,39,126894,0,Low,,,,
2775,2775,33079,707,13770,Home,Unemployed,6,Fair,49,223038,4,Low,,,,
2776,2776,53948,699,33959,Personal,Unemployed,7,Poor,31,55840,3,Low,,,,
2777,2777,69933,694,34281,Home,Self-employed,12,Poor,57,199243,3,Low,,,,
2778,2778,69933,767,31485,Business,Employed,16,Good,45,69581,4,Medium,,,,
